omega_p,epsilon_results_second_model
1e+16,(1.6408194859198417+2.127248790514076j)
1.0202020202020202e+16,(1.3278071202668862+2.2220672103058705j)
1.0404040404040404e+16,(1.0074709229827699+2.3194736416954886j)
1.0606060606060606e+16,(0.6797427406083756+2.4195149406495275j)
1.0808080808080808e+16,(0.3445525700152494+2.5222395045445065j)
1.101010101010101e+16,(0.0018285248669425158+2.627697316866998j)
1.1212121212121212e+16,(-0.3485031989295493+2.7359399937067335j)
1.1414141414141414e+16,(-0.706518358804793+2.8470208321143833j)
1.1616161616161616e+16,(-1.0722947021635072+2.9609948603991043j)
1.1818181818181818e+16,(-1.4459120041002809+3.0779188904445935j)
1.202020202020202e+16,(-1.8274521062185958+3.19785157212619j)
1.2222222222222222e+16,(-2.216998956577708+3.3208534499155298j)
1.2424242424242424e+16,(-2.614638650792452+3.4469870217634706j)
1.2626262626262626e+16,(-3.020459474311558+3.5763168003564214j)
1.2828282828282828e+16,(-3.434551945900388+3.7089093768458183j)
1.303030303030303e+16,(-3.857008862354519+3.8448334871553658j)
1.3232323232323232e+16,(-4.287925344470889+3.9841600809758146j)
1.3434343434343434e+16,(-4.727398884303714+4.126962393562395j)
1.3636363636363636e+16,(-5.175529393732523+4.273316020455745j)
1.3838383838383838e+16,(-5.63241925437006+4.423298995253092j)
1.404040404040404e+16,(-6.09817336883801+4.576991870562796j)
1.4242424242424242e+16,(-6.572899213438609+4.734477802281907j)
1.4444444444444444e+16,(-7.056706892250407+4.89584263734346j)
1.4646464646464648e+16,(-7.549709192676374+5.0611750050874615j)
1.4848484848484848e+16,(-8.052021642472631+5.230566412417384j)
1.5050505050505052e+16,(-8.563762568285899+5.404111342912046j)
1.5252525252525252e+16,(-9.085053155727362+5.581907360071389j)
1.5454545454545456e+16,(-9.61601751101086+5.76405521488381j)
1.5656565656565656e+16,(-10.156782724181987+5.950658957912102j)
1.585858585858586e+16,(-10.707478933965078+6.141826056105344j)
1.606060606060606e+16,(-11.26823939425342+6.337667514554553j)
1.6262626262626264e+16,(-11.839200542267918+6.538298003421334j)
1.6464646464646464e+16,(-12.420502068407544+6.743835990280346j)
1.6666666666666668e+16,(-13.012286987814498+6.954403878129319j)
1.6868686868686868e+16,(-13.614701713674545+7.170128149333118j)
1.7070707070707072e+16,(-14.227896132272118+7.3911395157827435j)
1.7272727272727272e+16,(-14.852023679816874+7.617573075564564j)
1.7474747474747476e+16,(-15.487241421056897+7.849568476450924j)
1.7676767676767676e+16,(-16.133710129690147+8.087270086539505j)
1.787878787878788e+16,(-16.791594370583535+8.330827172386448j)
1.808080808080808e+16,(-17.461062583804832+8.580394084996442j)
1.8282828282828284e+16,(-18.14228717046922+8.836130454052618j)
1.8484848484848484e+16,(-18.835444580397326+9.098201390789443j)
1.868686868686869e+16,(-19.54071540157737+9.366777699933861j)
1.888888888888889e+16,(-20.258284451417353+9.64203610116259j)
1.9090909090909092e+16,(-20.98834086976835+9.924159460548191j)
1.9292929292929296e+16,(-21.731078213691486+10.213337032491932j)
1.9494949494949496e+16,(-22.486694553934804+10.509764712669108j)
1.9696969696969696e+16,(-23.255392573076506+10.813645302541017j)
1.98989898989899e+16,(-24.037379665281932+11.125188786018526j)
2.0101010101010104e+16,(-24.832868037610652+11.444612618894414j)
2.0303030303030304e+16,(-25.642074812798526+11.77214203169607j)
2.0505050505050504e+16,(-26.46522213342601+12.108010346646198j)
2.0707070707070708e+16,(-27.302537267369445+12.45245930945769j)
2.090909090909091e+16,(-28.15425271441604+12.80573943672956j)
2.111111111111111e+16,(-29.020606313905382+13.168110379753806j)
